Actor,Movies count
Drama,4760
Horror,1637
Family,1231
Foreign,188
Fantasy,916
Crime,1354
Mystery,810
Documentary,520
Action,2384
Thriller,2907
War,270
TV Movie,167
Adventure,1471
Comedy,3793
Romance,1712
Music,408
Western,165
Science Fiction,1229
Animation,699
History,334
