product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
105108,Women's Wedding Ring Mysterious Touch 8 mm,wedding_ring,GWD-N1028-8-W,750.000000,309.000000,7570.000000,1,4295,fancy,689,Women’s Wedding Rings,glgb,women
93594,Men's Ring Classic Glow 7mm,wedding_ring,GWD20010,1090.000000,305.000000,12040.000000,1,159,classic,0,,glgb,men
87211,Women's Wedding Ring Pure Clever,wedding_ring,LG209,440.000000,198.000000,1060.000000,1,4295,fancy,689,Women’s Wedding Rings,glgb,women
99938,GLAMIRA Pendant Merla,pendant,OEPD-076,171.000000,171.000000,1405.000000,1,4574,initials,601,Necklaces,glgb,women
104663,Women's Wedding Ring Pure Valentine 4 mm,wedding_ring,GWD-N1002-4-W,412.000000,164.000000,4250.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
90981,Engagement Ring Farrah 0.25crt,ring,GD18B-25,556.000000,411.000000,10611.000000,1,5171,classic_solitaire,605,Engagement Rings,glgb,women
87618,Wedding Ring Sensual Caftan,wedding_ring,TWN1949/TWN1950,1694.000000,762.000000,4952.000000,1,4295,fancy,688,Wedding Rings,glgb,False
107573,Men's Ring Amazing Gift 10 mm,wedding_ring,GWD-L-3500-10-M,1105.000000,442.000000,11095.000000,1,4090,twinset,0,,glgb,men
105885,Men's Ring Unique Way 10 mm,wedding_ring,GWD-N1106-10-M,1089.000000,435.000000,10935.000000,1,4090,twinset,0,,glgb,men
106183,Men's Wedding Ring Glorious Style 6 mm,wedding_ring,GWD-H14319019-M,652.000000,260.000000,6546.000000,1,4396,memoire,690,Men’s Wedding Rings,glgb,men
95999,Men's Ring Alluring Bird 10 mm,wedding_ring,GWD-T41010-M,1758.000000,448.000000,17654.000000,1,4090,twinset,0,,glgb,men
109286,Men's Wedding Ring Unique Star 6 mm,wedding_ring,GWD-H1021-6-M,672.000000,268.000000,6748.000000,1,4090,twinset,690,Men’s Wedding Rings,glgb,men
90899,Engagement Ring Bridal Heart 0.1crt,ring,G100795-01,407.000000,309.000000,3343.000000,1,5171,classic_solitaire,605,Engagement Rings,glgb,women
108351,Wedding Ring Exotic Shine 8 mm,wedding_ring,GWD-L-7300-8,1789.000000,679.000000,18162.000000,1,4291,vintage,688,Wedding Rings,glgb,False
99940,GLAMIRA Pendant Morena,pendant,OEPD-078,343.000000,343.000000,2695.000000,1,4574,initials,601,Necklaces,glgb,women
100488,Women's Ring Exotic Night 10 mm,wedding_ring,DAW-009-10W,1306.000000,362.000000,13653.000000,1,4396,memoire,0,,glgb,women
107014,Glitter Light 10 mm,wedding_ring,GWD-H14319271,2067.000000,826.000000,20802.000000,1,4090,twinset,0,,glgb,False
91038,Engagement Ring Joy 0.25crt,ring,D31281-1-25,556.000000,389.000000,10611.000000,1,5171,classic_solitaire,605,Engagement Rings,glgb,women
108131,Women's Ring Sensual Division 10 mm,wedding_ring,GWD-L-36000-10-W,910.000000,364.000000,9205.000000,1,4090,twinset,0,,glgb,women
106580,Men's Ring Dynamic Fancy 8 mm,wedding_ring,GWD-H14319111-M,885.000000,354.000000,8886.000000,1,4090,twinset,0,,glgb,men
90856,Engagement Ring Alvina 0.4 crt,ring,GD21B-42,635.000000,482.000000,49804.000000,1,5171,classic_solitaire,605,Engagement Rings,glgb,women
100719,Kid's Pendant Feyha,pendant,KIP-005,219.000000,183.000000,1836.000000,1,5157,symbols,61,Necklaces,glgb,False
103661,GLAMIRA Ring Alzenia,ring,alzenia,676.000000,520.000000,6155.000000,1,5299,cabochon,27,Rings,glgb,women
92457,Women's Pendant Bria,pendant,1-Bria,244.000000,197.000000,7057.000000,1,5170,design_solitaire,601,Necklaces,glgb,women
95663,GLAMIRA Pendant Trama,pendant,Trama,844.000000,717.000000,6453.000000,1,4378,fashion,601,Necklaces,glgb,women
85171,Men's Wedding Ring Smart Devotion,wedding_ring,v7014_003,578.000000,260.000000,4450.000000,1,164,simple,690,Men’s Wedding Rings,glgb,men
91834,GLAMIRA Ring Jeremia Ø10 mm,ring,PL4-10,809.000000,566.000000,6511.000000,1,4661,pearl,763,PEARL's Rings,glgb,women
105776,Men's Wedding Ring Strong Light 8 mm,wedding_ring,GWD-N1098-8-M,853.000000,341.000000,8564.000000,1,4291,vintage,690,Men’s Wedding Rings,glgb,men
109124,Women's Wedding Ring Mystic shape 6 mm,wedding_ring,GWD-H1036-6-W,642.000000,256.000000,7186.000000,1,4291,vintage,689,Women’s Wedding Rings,glgb,women
108439,Charming Noble 10 mm,wedding_ring,GWD-L-8500-10,2050.000000,820.000000,21158.000000,1,4090,twinset,0,,glgb,False
109278,Men's Ring Unique Harmony 10 mm,wedding_ring,GWD-H1020-10-M,1089.000000,435.000000,10935.000000,1,4090,twinset,0,,glgb,men
97746,GLAMIRA Drop Pendant Eunomia,pendant,WSP-149,389.000000,311.000000,3040.000000,1,4378,fashion,601,Necklaces,glgb,women
96072,Women's Wedding Ring Bright Jewel 4 mm,wedding_ring,GWD-T120906-4W,557.000000,154.000000,5949.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
98841,Bright Queen 10 mm,wedding_ring,GWD-S4020-10,2504.000000,1001.000000,25270.000000,1,164,simple,0,,glgb,False
101362,Men's Ring Trebian,ring,MRI-052,1293.000000,801.000000,10994.000000,1,4378,fashion,617,Rings,glgb,men
98377,Women's Bracelet Corina,bracelet,CORINA,604.000000,440.000000,5309.000000,1,5168,chain_bracelet,624,Bracelets,glgb,women
105203,Women's Ring Gracious Life 7 mm,wedding_ring,GWD-N1048-7-W,710.000000,284.000000,8091.000000,1,4090,twinset,0,,glgb,women
110819,GLAMIRA Pendant Carline D,pendant,Carline-D,318.000000,238.000000,2677.000000,1,4574,initials,753,Initial & Name Necklaces,glgb,women
101682,Kid's Earring Aingeal,earring,KIDE-119,358.000000,250.000000,2766.000000,1,4716,flower,63,Earrings,glgb,False
